C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	IN
100.3 	81.4 	20810	105.8 	98.8 	112.5 	5.9 	0.6 	117560	120.9 	1.34 	-1 
98.9 	79.8 	20786	104.3 	93.9 	111.2 	3.7 	-1.7 	116076	118.1 	1.31 	-1 
98.1 	79.6 	20689	104.3 	91.6 	106.3 	5.7 	-1.5 	114102	118.9 	1.25 	-1 
97.7 	79.3 	20531	103.0 	88.4 	108.4 	5.9 	-0.9 	112127	118.7 	1.22 	-1 
96.2 	77.9 	20505	101.7 	85.3 	107.3 	0.9 	-2.1 	110153	116.8 	1.19 	-1 
95.9 	77.6 	20506	101.2 	82.8 	104.9 	3.6 	-1.6 	105537	116.9 	1.14 	-1 
93.6 	76.5 	20591	99.5 	80.9 	102.5 	2.1 	-6.6 	100921	114.1 	1.13 	-1 
95.7 	78.4 	20522	100.6 	80.2 	104.0 	1.7 	-2.1 	96305	116.2 	1.10 	-1 
95.3 	78.3 	20547	99.3 	78.2 	104.0 	0.6 	-5.6 	95478	116.2 	1.08 	-1 
92.3 	75.6 	20534	96.3 	76.3 	100.7 	-0.6 	-5.7 	94651	112.2 	1.05 	-1 
96.2 	78.3 	20710	99.9 	76.1 	107.2 	0.1 	-3.9 	93824	117.2 	1.02 	-1 
93.0 	75.7 	20590	96.1 	75.7 	102.5 	-1.9 	-5.8 	90849	113.8 	0.99 	-1 
91.7 	75.2 	20668	95.3 	73.0 	98.5 	-3.4 	-8.5 	87874	111.2 	0.96 	-1 
91.2 	75.1 	20548	94.7 	71.6 	98.1 	-1.9 	-7.5 	84899	111.2 	0.93 	-1 
92.8 	76.5 	20616	96.9 	71.1 	101.0 	-2.7 	-8.4 	87225	112.3 	0.91 	-1 
93.8 	76.6 	20606	96.3 	71.3 	102.0 	-2.7 	-6.1 	89550	112.4 	0.88 	-1 
90.1 	74.6 	20709	95.3 	70.6 	99.2 	-0.6 	-3.2 	91876	110.6 	0.85 	-1 
91.7 	75.6 	20637	95.4 	68.4 	99.0 	-2.3 	-4.4 	90010	110.9 	0.82 	-1 
92.9 	77.3 	20577	97.2 	69.5 	97.4 	-2.8 	-6.9 	88143	110.8 	0.80 	-1 
91.3 	75.9 	20582	94.6 	68.4 	97.8 	-2.3 	-7.5 	86277	108.9 	0.76 	-1 
91.7 	76.2 	19935	95.1 	68.9 	97.0 	-3.0 	-5.9 	84020	109.6 	0.74 	-1 
90.9 	76.1 	19762	94.4 	67.6 	96.6 	-1.5 	-5.3 	81762	108.4 	0.72 	-1 
